ISO name,DRT name,ISO code
Afghanistan,Afghanistan,AFG
Albania,Albania,ALB
Algeria,Algeria,DZA
American Samoa,American Samoa,ASM
Andorra,Andorra,AND
Angola,Angola,AGO
Anguilla,Anguilla,AIA
Antarctica,Antarctica,ATA
Antigua and Barbuda,Antigua and Barbuda,ATG
Argentina,Argentina,ARG
Armenia,Armenia,ARM
Aruba,Aruba,ABW
Australia,Australia,AUS
Austria,Austria,AUT
Azerbaijan,Azerbaijan,AZE
Bahamas (the),Bahamas,BHS
Bahrain,Bahrain,BHR
Bangladesh,Bangladesh,BGD
Barbados,Barbados,BRB
Belarus,Belarus,BLR
Belgium,Belgium,BEL
Belize,Belize,BLZ
Benin,Benin,BEN
Bermuda,Bermuda,BMU
Bhutan,Bhutan,BTN
Bolivia (Plurinational State of),Bolivia,BOL
"Bonaire, Sint Eustatius and Saba","Bonaire, Sint Eustatius and Saba",BES
Bosnia and Herzegovina,Bosnia and Herzegovina,BIH
Botswana,Botswana,BWA
Bouvet Island,Bouvet Island,BVT
Brazil,Brazil,BRA
British Indian Ocean Territory (the),British Indian Ocean Territory,IOT
Brunei Darussalam,Brunei,BRN
Bulgaria,Bulgaria,BGR
Burkina Faso,Burkina Faso,BFA
Burundi,Burundi,BDI
Cabo Verde,Cape Verde,CPV
Cambodia,Cambodia,KHM
Cameroon,Cameroon,CMR
Canada,Canada,CAN
Cayman Islands (the),Cayman Islands,CYM
Central African Republic (the),Central African Republic (the),CAF
Chad,Chad,TCD
Chile,Chile,CHL
China,China,CHN
Christmas Island,Christmas Island,CXR
Cocos (Keeling) Islands (the),Cocos (Keeling) Islands,CCK
Colombia,Colombia,COL
Comoros (the),Comoros,COM
Congo (the Democratic Republic of the),Congo (Kinshasa),COD
Congo (the),Congo (Brazzaville),COG
Cook Islands (the),Cook Islands,COK
Costa Rica,Costa Rica,CRI
Croatia,Croatia,HRV
Cuba,Cuba,CUB
Curaçao,Curaçao,CUW
Cyprus,Cyprus,CYP
Czechia,Czechia,CZE
Côte d'Ivoire,Cote d'Ivoire,CIV
Denmark,Denmark,DNK
Djibouti,Djibouti,DJI
Dominica,Dominica,DMA
Dominican Republic (the),Dominican Republic,DOM
Ecuador,Ecuador,ECU
Egypt,Egypt,EGY
El Salvador,El Salvador,SLV
Equatorial Guinea,Equatorial Guinea,GNQ
Eritrea,Eritrea,ERI
Estonia,Estonia,EST
Eswatini,Eswatini,SWZ
Ethiopia,Ethiopia,ETH
Falkland Islands (the) [Malvinas],Falkland Islands,FLK
Faroe Islands (the),Faroe Islands,FRO
Fiji,Fiji,FJI
Finland,Finland,FIN
France,France,FRA
French Guiana,French Guiana,GUF
French Polynesia,French Polynesia,PYF
French Southern Territories (the),French Southern Territories,ATF
Gabon,Gabon,GAB
Gambia (the),Gambia,GMB
Georgia,Georgia,GEO
Germany,Germany,DEU
Ghana,Ghana,GHA
Gibraltar,Gibraltar,GIB
Greece,Greece,GRC
Greenland,Greenland,GRL
Grenada,Grenada,GRD
Guadeloupe,Guadeloupe,GLP
Guam,Guam,GUM
Guatemala,Guatemala,GTM
Guernsey,Guernsey,GGY
Guinea,Guinea,GIN
Guinea-Bissau,Guinea-Bissau,GNB
Guyana,Guyana,GUY
Haiti,Haiti,HTI
Heard Island and McDonald Islands,Heard Island and McDonald Islands,HMD
Holy See (the),Holy See,VAT
Honduras,Honduras,HND
Hong Kong,Hong Kong,HKG
Hungary,Hungary,HUN
Iceland,Iceland,ISL
India,India,IND
Indonesia,Indonesia,IDN
Iran (Islamic Republic of),Iran,IRN
Iraq,Iraq,IRQ
Ireland,Ireland,IRL
Isle of Man,Isle of Man,IMN
Israel,Israel,ISR
Italy,Italy,ITA
Jamaica,Jamaica,JAM
